sample_name	condition
bc1005_bc1056	mock
bc1005_bc1057	mock
bc1005_bc1062	mock
bc1005_bc1075	mock
bc1005_bc1100	mock
bc1007_bc1075	mock
bc1020_bc1059	mock
bc1024_bc1111	mock
