Feature ID,Domain,Domain_conf,Phylum,Phylum_conf,Class,Class_conf,Order,Order_conf,Family,Family_conf,Genus,Genus_conf,Species,Species_conf
dd586a1ae04ed2d129d944286ae71f61,Bacteria,100.0,Bacillota,52.0,Bacilli,52.0,Staphylococcales,52.0,Staphylococcaceae,52.0,Staphylococcus,52.0,Staphylococcus epidermidis,52.0
c0089458dae2c0559162e58eb2661873,Bacteria,100.0,Pseudomonadota,100.0,Gammaproteobacteria,100.0,Enterobacterales,100.0,Enterobacteriaceae,100.0,G047199095,60.0,G047199095 sp047199095,60.0
9fc4609d84db9e441de7db46d7172ae4,Bacteria,100.0,Pseudomonadota,100.0,Gammaproteobacteria,100.0,Enterobacterales,100.0,Enterobacteriaceae,100.0,G047199095,78.0,G047199095 sp047199095,78.0
d3eab112b21cbea371f808f940fa4b0c,Bacteria,100.00000000000009,Bacillota,100.00000000000009,Bacilli,100.00000000000009,Staphylococcales,100.00000000000009,Staphylococcaceae,100.00000000000009,Staphylococcus,100.00000000000009,Staphylococcus epidermidis,100.00000000000009
aab4d379026eb5e6a7e2b32ec4c715e7,Bacteria,100.0,Bacillota,100.0,Bacilli,100.0,Staphylococcales,100.0,Staphylococcaceae,100.0,Staphylococcus,100.0,Staphylococcus epidermidis,100.0
34babcf1732962962d2fbbbadf3af637,Bacteria,100.00000000000004,Bacillota,90.57959183673469,Bacilli,88.27142857142856,Staphylococcales,87.50204081632651,Staphylococcaceae,87.50204081632651,Staphylococcus,87.50204081632651,Staphylococcus epidermidis,87.50204081632651
07b2978940b50886f3866b04b7f982cf,Bacteria,100.0,Bacillota,100.0,Bacilli,100.0,Lactobacillales,96.0,Streptococcaceae,96.0,Streptococcus,96.0,Streptococcus agalactiae,96.0
a0ec2668157ffb2374ece8cad58ecc5f,Bacteria,100.0,Pseudomonadota,96.0,Gammaproteobacteria,94.0,Pseudomonadales,90.0,Pseudomonadaceae,90.0,Pseudomonas,90.0,Pseudomonas paraeruginosa,90.0
27be187284317979c93fd2218ee3722e,Bacteria,100.0,Bacillota,98.0,Bacilli,98.0,Staphylococcales,96.0,Staphylococcaceae,96.0,Staphylococcus,96.0,Staphylococcus argenteus,68.0
21b49156bf40185385c31d7db91a5ad5,Bacteria,99.99999999999974,Bacillota,99.99999999999974,Bacilli,99.99999999999974,Bacillales,99.99999999999974,Bacillaceae_G,99.99999999999974,Bacillus_A,99.99999999999974,Bacillus_A pacificus,99.99999999999974
92bcc461c3dbfbeb88759ada02f95a6b,Bacteria,99.99999999999999,Bacillota,99.99999999999999,Bacilli,99.99999999999999,Bacillales,99.99999999999999,Bacillaceae_G,99.99999999999999,Bacillus_A,99.99999999999999,Bacillus_A pacificus,99.99999999999999
efe5e4e4ba300f45c88da09e3e9cd3e4,Bacteria,100.0,Pseudomonadota,100.0,Gammaproteobacteria,100.0,Pseudomonadales,100.0,Pseudomonadaceae,100.0,Pseudomonas,100.0,Pseudomonas aeruginosa,88.0
985d4a0d4d7e7d255af6a92044ae5901,Bacteria,100.0,Bacillota,100.0,Bacilli,100.0,Staphylococcales,100.0,Staphylococcaceae,100.0,Staphylococcus,100.0,Staphylococcus aureus,100.0
51d51e872348c3c5e3b70be7f91c4a32,Bacteria,100.0,Pseudomonadota,94.0,Gammaproteobacteria,94.0,Pseudomonadales,90.0,Moraxellaceae,90.0,Acinetobacter,90.0,Acinetobacter baumannii,90.0
994cb47a2b400e6185743e1765244faf,Bacteria,100.0,Bacillota,100.0,Bacilli,100.0,Staphylococcales,100.0,Staphylococcaceae,100.0,Staphylococcus,100.0,Staphylococcus aureus,100.0
4bec1cb362f10c0518dae936b3032c6f,Bacteria,100.0,Bacillota,100.0,Bacilli,100.0,Staphylococcales,100.0,Staphylococcaceae,100.0,Staphylococcus,100.0,Staphylococcus aureus,100.0
cd1af128eb857acddb168e57245021ec,Bacteria,100.0000000000001,Bacillota,100.0000000000001,Bacilli,100.0000000000001,Staphylococcales,100.0000000000001,Staphylococcaceae,100.0000000000001,Staphylococcus,100.0000000000001,Staphylococcus aureus,100.0000000000001
1f1158dbb4126e5a7f04094b61700493,Bacteria,100.00000000000014,Bacillota,100.00000000000014,Clostridia,100.00000000000014,Clostridiales,100.00000000000014,Clostridiaceae,100.00000000000014,Clostridium,100.00000000000014,Clostridium beijerinckii,90.09336914500332
0ed2d53fd823b2ef922b6f349cade1cd,Bacteria,100.0,Pseudomonadota,100.0,Gammaproteobacteria,100.0,Burkholderiales,100.0,Neisseriaceae,100.0,Neisseria,100.0,Neisseria meningitidis,100.0
7932226c8cd025d2ea117b03d48f63e8,Bacteria,100.00000000000018,Bacillota,100.00000000000018,Clostridia,100.00000000000018,Clostridiales,100.00000000000018,Clostridiaceae,100.00000000000018,Clostridium,100.00000000000018,Clostridium beijerinckii,94.89932994834398
b80a1bd6b19379171cafb03a4ddb26a3,Bacteria,100.0,Pseudomonadota,100.0,Alphaproteobacteria,100.0,Rhodobacterales,100.0,Rhodobacteraceae,100.0,Cereibacter_A,100.0,Cereibacter_A sphaeroides,100.0
61de72098cbf9f693f09c863d1c5a586,Bacteria,99.99999999999993,Bacteroidota,95.7713460330851,Bacteroidia,95.7713460330851,Bacteroidales,95.7713460330851,Porphyromonadaceae,95.7713460330851,Porphyromonas,95.7713460330851,Porphyromonas gingivalis,95.7713460330851
a0530711bdec8d611872863731f96dde,Bacteria,100.0,Bacillota,100.0,Bacilli,100.0,Lactobacillales,100.0,Streptococcaceae,100.0,Streptococcus,100.0,Streptococcus mutans,100.0
