date,count,uniques
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,0,0
2026-06-08,0,0
2026-06-09,0,0
2026-06-10,0,0
2026-06-11,0,0
2026-06-12,0,0
2026-06-13,0,0
2026-06-14,0,0
2026-06-15,0,0
2026-06-16,0,0
2026-06-17,0,0
2026-06-18,74,40
2026-06-19,54,26
2026-06-20,3,3
2026-06-21,1,1
2026-06-22,10,6
2026-06-23,3,2
2026-06-24,4,4
2026-06-25,17,8
2026-06-26,1,1
2026-06-27,0,0
2026-06-28,0,0
